
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
50,DeJuanBlair,PF,24,DAL,78,1214,17.3,.557,.005,.308,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,0.0,1.8,1.5,3.4,.133,0.0,-0.2,0.8,0.6,0.8
51,SteveBlake,PG,33,TOT,55,1498,11.0,.508,.595,.122,0.9,10.4,5.7,28.8,1.8,0.4,21.5,13.8,0.0,0.7,1.1,1.8,.058,0.0,-0.9,-0.7,-1.6,0.2
51,SteveBlake,PG,33,LAL,27,891,12.1,.515,.562,.150,1.0,11.4,6.2,33.0,1.9,0.2,22.2,15.7,0.0,0.4,0.3,0.8,.041,0.0,-0.3,-1.3,-1.6,0.1
51,SteveBlake,PG,33,GSW,28,607,9.4,.494,.658,.067,0.9,9.0,5.0,22.7,1.6,0.7,20.1,11.2,0.0,0.3,0.7,1.1,.084,0.0,-1.8,0.2,-1.6,0.1
52,AndrayBlatche,PF,27,BRK,73,1618,18.8,.532,.080,.328,8.9,19.9,14.4,12.8,2.4,2.0,12.5,25.6,0.0,1.6,2.1,3.7,.109,0.0,-0.6,0.7,0.1,0.8
53,EricBledsoe,PG,24,PHO,43,1416,19.6,.578,.252,.426,2.1,13.8,8.0,27.0,2.4,0.8,17.8,24.9,0.0,2.6,1.6,4.1,.140,0.0,2.3,0.6,2.9,1.8
54,VanderBlue,SG,21,BOS,3,15,0.5,.403,.250,1.250,0.0,23.4,11.4,10.7,0.0,0.0,24.4,24.3,0.0,-0.1,0.0,-0.1,-0.214,0.0,-10.9,-3.1,-13.9,0.0
55,KeithBogans,SG,33,BOS,6,55,9.9,.820,1.000,.500,0.0,6.4,3.1,7.7,0.9,0.0,12.0,6.7,0.0,0.1,0.0,0.1,.121,0.0,0.1,-2.2,-2.1,0.0
56,AndrewBogut,C,29,GSW,67,1769,17.0,.610,.000,.171,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,0.0,2.4,4.0,6.5,.176,0.0,-1.2,5.6,4.4,2.8
57,MattBonner,PF,33,SAS,61,690,11.2,.582,.598,.073,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,0.0,0.8,1.0,1.8,.123,0.0,-0.4,0.7,0.3,0.4
